id;create_date;rent_price;deposit;floor;area_total;rooms;region;repair_type;agent_fee
158;2021-12-06 00:27:12.937 +0300;23000.00;23000.00;3;23.авг;0;2;design;0
159;2021-12-06 00:26:55.322 +0300;23000.00;23000.00;6;26.0;0;2;euro;0
160;2021-12-06 00:26:15.419 +0300;23000.00;23000.00;10;28.сен;0;2;euro;0
161;2021-12-06 00:25:55.529 +0300;60000.00;60000.00;4;54.0;2;1;euro;100
162;2021-12-06 00:25:54.418 +0300;60000.00;60000.00;5;65.0;3;1;cosmetic;50
163;2021-12-06 00:25:53.924 +0300;23000.00;23000.00;9;53.0;2;2;unknown;100
164;2021-12-06 00:24:47.005 +0300;50000.00;50000.00;5;31.0;1;1;cosmetic;0
165;2021-12-06 00:24:13.835 +0300;22000.00;22000.00;10;38.0;1;2;cosmetic;50
166;2021-12-06 00:22:51.541 +0300;21500.00;23000.00;14;24.0;0;2;euro;1
167;2021-12-06 00:21:47.816 +0300;50000.00;50000.00;3;40.0;2;1;cosmetic;50
168;2021-12-06 00:20:14.837 +0300;22000.00;10000.00;9;33.0;1;2;euro;0
169;2021-12-06 00:20:01.027 +0300;50000.00;50000.00;4;40.0;2;1;cosmetic;99
170;2021-12-06 00:13:30.926 +0300;50000.00;50000.00;8;37.0;1;1;euro;70
171;2021-12-06 00:13:09.319 +0300;50000.00;50000.00;1;40.0;2;1;euro;50
172;2021-12-06 00:12:52.222 +0300;50000.00;50000.00;2;39.1;2;1;euro;50
173;2021-12-06 00:10:44.506 +0300;48000.00;48000.00;6;46.0;2;1;euro;50
174;2021-12-06 00:10:05.211 +0300;48000.00;48000.00;1;47.0;2;1;cosmetic;50
175;2021-12-06 00:09:21.326 +0300;47000.00;0.00;3;57.0;2;1;cosmetic;0
176;2021-12-05 23:54:29.690 +0300;47000.00;47000.00;2;43.0;1;1;euro;99
177;2021-12-05 23:54:28.239 +0300;47000.00;47000.00;2;35.0;1;1;euro;99
178;2021-12-05 23:50:58.528 +0300;45000.00;22500.00;8;32.0;1;1;cosmetic;50
179;2021-12-05 23:50:53.684 +0300;45000.00;45000.00;14;39.0;1;1;euro;35
180;2021-12-05 23:50:51.908 +0300;45000.00;45000.00;6;54.0;2;1;cosmetic;50
181;2021-12-05 23:50:50.142 +0300;45000.00;45000.00;13;27.май;1;1;cosmetic;0
182;2021-12-05 23:47:09.530 +0300;45000.00;45000.00;6;48.0;2;1;euro;10
183;2021-12-05 23:44:59.124 +0300;45000.00;45000.00;11;34.1;1;1;cosmetic;50
184;2021-12-05 23:43:28.777 +0300;54000.00;54000.00;6;52.0;2;2;euro;50
185;2021-12-05 23:43:08.122 +0300;53000.00;53000.00;10;51.0;1;2;design;50
186;2021-12-05 23:41:06.324 +0300;28000.00;28000.00;8;45.0;1;2;cosmetic;50
187;2021-12-05 23:38:19.029 +0300;27000.00;;6;45.0;2;2;;
188;2021-12-05 23:36:51.999 +0300;27000.00;27000.00;5;38.0;1;2;cosmetic;0
189;2021-12-05 23:36:32.635 +0300;26000.00;15000.00;1;16.0;0;2;euro;0
190;2021-12-05 23:25:36.347 +0300;38000.00;38000.00;5;38.0;1;1;cosmetic;0
191;2021-12-05 23:23:57.661 +0300;38000.00;38000.00;6;37.0;1;1;euro;50
192;2021-12-05 23:19:42.879 +0300;42000.00;42000.00;5;45.0;2;1;no;72
193;2021-12-05 23:19:26.134 +0300;42000.00;42000.00;12;47.0;1;1;cosmetic;40
194;2021-12-05 23:18:03.789 +0300;37000.00;37000.00;8;36.0;1;1;euro;50
195;2021-12-05 23:05:00.125 +0300;35000.00;;2;46.0;2;1;;
196;2021-12-05 23:03:22.053 +0300;35000.00;35000.00;8;33.0;1;1;cosmetic;100
197;2021-12-05 23:03:20.019 +0300;35000.00;35000.00;9;45.0;2;1;cosmetic;60
198;2021-12-05 23:02:12.793 +0300;100000.00;100000.00;9;118.0;3;2;euro;50
199;2021-12-05 22:43:21.107 +0300;85000.00;85000.00;2;60.0;2;1;euro;50
200;2021-12-05 22:42:29.571 +0300;85000.00;85000.00;2;60.0;2;1;euro;50
201;2021-12-05 22:41:39.355 +0300;20000.00;20000.00;16;38.7;1;2;cosmetic;0
202;2021-12-05 22:37:22.360 +0300;17000.00;17000.00;5;26.0;0;2;cosmetic;0
203;2021-12-05 22:36:53.017 +0300;30000.00;15000.00;4;50.0;2;1;cosmetic;100
204;2021-12-05 22:36:05.045 +0300;30000.00;30000.00;1;38.0;1;1;euro;60
205;2021-12-05 22:36:03.952 +0300;30000.00;30000.00;14;35.0;1;1;cosmetic;50
206;2021-12-05 22:35:00.206 +0300;80000.00;80000.00;25;35.0;2;1;euro;50
207;2021-12-05 22:32:46.331 +0300;80000.00;80000.00;5;105.0;3;1;euro;50
208;2021-12-05 22:24:22.763 +0300;100000.00;50000.00;2;60.0;2;1;cosmetic;50
209;2021-12-05 22:20:06.010 +0300;25000.00;25000.00;14;38.0;1;1;cosmetic;50
210;2021-12-05 22:19:31.781 +0300;100000.00;100000.00;7;50.0;2;1;design;60
211;2021-12-05 22:15:34.971 +0300;150000.00;100000.00;3;70.0;3;1;euro;60
212;2021-12-05 22:15:16.015 +0300;55000.00;55000.00;3;53.0;2;1;cosmetic;50
213;2021-12-05 22:13:37.962 +0300;150000.00;150000.00;10;57.0;0;1;design;50
214;2021-12-05 22:13:09.796 +0300;55000.00;55000.00;15;58.0;2;1;euro;100
215;2021-12-05 22:12:24.568 +0300;55000.00;55000.00;6;30.0;1;1;euro;50
216;2021-12-05 22:12:02.704 +0300;160000.00;160000.00;3;170.0;4;1;euro;0
217;2021-12-05 22:11:05.461 +0300;54000.00;54000.00;3;63.0;2;1;cosmetic;50
218;2021-12-05 22:11:01.460 +0300;54100.00;0.00;5;34.0;1;1;cosmetic;0
219;2021-12-05 22:10:52.729 +0300;90000.00;50000.00;10;106.0;4;1;euro;15
220;2021-12-05 22:07:02.717 +0300;130000.00;130000.00;6;92.0;3;1;cosmetic;50
221;2021-12-05 22:05:24.423 +0300;130000.00;130000.00;10;100.0;3;1;euro;30
222;2021-12-05 22:04:56.865 +0300;53000.00;53000.00;1;45.0;2;1;cosmetic;50
223;2021-12-05 22:04:18.505 +0300;52000.00;52000.00;4;43.0;2;1;euro;60
224;2021-12-05 22:03:11.884 +0300;38000.00;32000.00;3;23.0;0;1;euro;0
225;2021-12-05 22:03:10.826 +0300;38000.00;38000.00;2;33.0;1;1;cosmetic;50
226;2021-12-05 22:03:10.255 +0300;38000.00;38000.00;2;34.0;1;1;cosmetic;50
227;2021-12-05 22:02:34.900 +0300;38000.00;38000.00;5;32.6;1;1;cosmetic;0
228;2021-12-05 22:00:35.226 +0300;33000.00;33000.00;6;36.0;1;1;cosmetic;50
229;2021-12-05 21:58:48.752 +0300;50000.00;50000.00;9;60.0;2;1;cosmetic;60
230;2021-12-05 21:58:19.959 +0300;50000.00;25000.00;4;65.0;3;1;euro;45
231;2021-12-05 21:58:06.962 +0300;130000.00;130000.00;7;69.0;2;1;euro;0
232;2021-12-05 21:57:52.613 +0300;130000.00;130000.00;11;90.0;2;1;design;50
233;2021-12-05 21:55:06.428 +0300;41000.00;41000.00;4;45.0;2;1;cosmetic;30
234;2021-12-05 21:54:47.525 +0300;40000.00;40000.00;7;57.0;2;2;design;0
235;2021-12-05 21:54:40.052 +0300;50000.00;50000.00;7;51.0;3;1;euro;50
236;2021-12-05 21:52:13.068 +0300;120000.00;120000.00;7;96.0;4;1;euro;0
237;2021-12-05 21:52:04.231 +0300;120000.00;120000.00;5;40.0;1;1;design;50
238;2021-12-05 21:51:27.636 +0300;120000.00;120000.00;7;45.0;1;1;cosmetic;0
239;2021-12-05 21:50:56.806 +0300;120000.00;120000.00;7;96.0;4;1;euro;0
240;2021-12-05 21:50:37.262 +0300;35000.00;35000.00;11;59.1;2;2;cosmetic;0
241;2021-12-05 21:50:16.446 +0300;35000.00;35000.00;1;44.0;2;2;cosmetic;0
242;2021-12-05 21:50:15.207 +0300;36000.00;36000.00;1;48.5;2;2;euro;0
243;2021-12-05 21:49:59.476 +0300;115000.00;115000.00;5;50.0;2;1;design;0
244;2021-12-05 21:47:16.034 +0300;40000.00;40000.00;4;21.0;0;1;euro;0
245;2021-12-05 21:47:11.122 +0300;45000.00;45000.00;6;43.0;2;1;cosmetic;80
246;2021-12-05 21:46:08.224 +0300;36000.00;36000.00;5;42.0;1;2;euro;50
247;2021-12-05 21:46:05.132 +0300;43000.00;43000.00;3;31.авг;1;1;cosmetic;0
248;2021-12-05 21:45:27.163 +0300;110000.00;110000.00;8;90.0;2;1;euro;50
